epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
124,928.113,0.4556,0.26856,0.89028,0.99537,1,0.995,0.91841,0.41256,0.2061,0.8454,0.0007823,0.0007823,0.0007823
125,935.429,0.44707,0.26584,0.88278,0.99501,1,0.995,0.91611,0.41492,0.21906,0.8402,0.0007724,0.0007724,0.0007724
126,942.958,0.46637,0.27762,0.89129,0.99573,0.99967,0.995,0.92034,0.4062,0.20891,0.84418,0.0007625,0.0007625,0.0007625
127,950.097,0.45282,0.26509,0.88392,0.9999,0.99571,0.995,0.92652,0.39865,0.20519,0.84192,0.0007526,0.0007526,0.0007526
128,957.435,0.44503,0.26088,0.88396,0.99967,0.99571,0.995,0.92739,0.39434,0.20633,0.83173,0.0007427,0.0007427,0.0007427
129,964.922,0.43818,0.26003,0.88316,0.99976,0.99571,0.995,0.93077,0.39205,0.20292,0.84177,0.0007328,0.0007328,0.0007328
130,972.75,0.45089,0.27314,0.88722,0.99972,0.99571,0.995,0.92346,0.40712,0.20202,0.84419,0.0007229,0.0007229,0.0007229
131,980.879,0.4419,0.25968,0.87942,0.99969,0.99571,0.995,0.93113,0.40162,0.20727,0.84264,0.000713,0.000713,0.000713
132,989.302,0.44977,0.26954,0.88681,0.99962,0.99571,0.995,0.9218,0.40828,0.20482,0.85097,0.0007031,0.0007031,0.0007031
133,998.639,0.44341,0.26787,0.87667,0.99971,0.99571,0.995,0.92608,0.38542,0.19613,0.84477,0.0006932,0.0006932,0.0006932
134,1007.03,0.43254,0.25421,0.86949,0.9996,0.99571,0.995,0.9262,0.38706,0.20088,0.84185,0.0006833,0.0006833,0.0006833
135,1015.22,0.43834,0.26202,0.87761,0.99573,0.99984,0.995,0.92369,0.38466,0.19528,0.84004,0.0006734,0.0006734,0.0006734
136,1024.45,0.43038,0.25505,0.87032,0.99967,0.99571,0.995,0.92803,0.39035,0.19498,0.85342,0.0006635,0.0006635,0.0006635
137,1032.41,0.45209,0.2636,0.88778,1,0.99486,0.995,0.91819,0.39882,0.20089,0.8479,0.0006536,0.0006536,0.0006536
138,1040.74,0.42434,0.24984,0.86426,1,0.99549,0.995,0.92495,0.38181,0.19933,0.84225,0.0006437,0.0006437,0.0006437
139,1049.05,0.44687,0.26313,0.88478,0.99539,0.99571,0.995,0.93043,0.37636,0.19642,0.84042,0.0006338,0.0006338,0.0006338
140,1057.05,0.41667,0.24502,0.8709,0.99546,0.99571,0.995,0.92296,0.38586,0.2013,0.8419,0.0006239,0.0006239,0.0006239
141,1065.12,0.43942,0.26016,0.87498,0.99544,0.99571,0.995,0.92686,0.38702,0.1976,0.85205,0.000614,0.000614,0.000614
142,1073.4,0.41981,0.24771,0.87803,0.99976,0.99571,0.995,0.93672,0.39642,0.19937,0.85323,0.0006041,0.0006041,0.0006041
143,1081.29,0.42685,0.2537,0.86621,0.99967,0.99571,0.995,0.93177,0.38613,0.19885,0.84229,0.0005942,0.0005942,0.0005942
